ip=  0 ,FFP(MV)= 79.70 ,Rc(GV)=  6.12 depth(g/cm2)=  1.9781E+02 g=    0.15
 Total flux (/cm2/s)=   0.99936984687715869     
    E(MeV/n)        u        v        w
  2.4566E+02 -0.01198  0.35407  0.93514
  2.2642E+01  0.38548  0.91908  0.08176
  2.0061E+01 -0.52287  0.59036  0.61489
  1.3777E+01  0.42041 -0.89811 -0.12901
  5.3840E+01 -0.07675 -0.07542  0.99419
  2.6905E+02 -0.29594 -0.06177  0.95321
  1.1741E+00  0.66260  0.73528 -0.14256
  1.7168E+00  0.88430 -0.24733 -0.39604
  2.9007E+02  0.19692  0.84415 -0.49863
  2.1292E+00  0.26289  0.69459  0.66965
  1.7829E+02 -0.90620 -0.06022  0.41854
  1.5842E+02  0.66850 -0.38854 -0.63414
  2.2738E+02  0.60125  0.11525  0.79071
  1.8393E+02  0.59502  0.68897  0.41385
  3.2608E+02  0.91926 -0.39334 -0.01592
  1.5365E+02  0.92360 -0.00897  0.38326
  1.3561E+00 -0.69328 -0.65391  0.30291
  7.6518E+01  0.29136 -0.81966  0.49322
  9.8353E+01 -0.42327 -0.83531  0.35085
  1.1783E+02  0.60103  0.23401  0.76420
  2.7485E+00 -0.40532 -0.57944  0.70708
  1.7846E+02  0.73701  0.67554  0.02174
  1.8064E+00  0.16782  0.98495 -0.04133
  8.8792E+01 -0.25792  0.16849  0.95136
  3.7200E+01  0.84363  0.52034 -0.13241
  2.3764E+01 -0.94399 -0.00866 -0.32985
  3.3085E+01  0.85158  0.29918  0.43047
  2.3312E+01  0.07899 -0.48363  0.87170
  8.4023E+00  0.96488 -0.24278  0.10032
  4.8092E+00  0.11370 -0.94121 -0.31812
  7.7354E+01  0.57363 -0.14629  0.80595
  2.3271E+00 -0.25278  0.94457  0.20952
  2.1724E+02  0.56474  0.10792  0.81818
  1.7656E+00  0.13316  0.54077 -0.83057
  1.1919E+00  0.69014  0.69712 -0.19424
  1.5987E+01 -0.52333  0.04782 -0.85079
  1.1750E+00 -0.37131 -0.70358  0.60589
  7.2127E+02 -0.87595 -0.29249  0.38360
  1.2990E+02  0.43183  0.88348  0.18162
  2.7718E+01 -0.90081 -0.03091  0.43310
  1.7891E+00  0.23992 -0.90793  0.34366
  1.0477E+02  0.37753  0.00472  0.92598
  2.5018E+02 -0.57460  0.75023  0.32711
  8.8311E+01  0.52861  0.44509  0.72282
  6.1894E+02  0.07458 -0.34765  0.93465
  4.5766E+00 -0.02568  0.17613  0.98403
  3.6881E+00 -0.39067 -0.49506  0.77608
  1.7956E+00 -0.10204  0.87326  0.47644
  1.3087E+00 -0.00293 -0.96837  0.24951
  1.5754E+00  0.61385 -0.18902 -0.76646
  1.1519E+02 -0.82176 -0.32056  0.47112
  9.0789E+01  0.17743  0.18126  0.96730
  4.4755E+01  0.89506 -0.25452 -0.36618
  1.9625E+00  0.33733 -0.92555  0.17193
  2.0340E+01 -0.72305  0.42051  0.54806
  1.1927E+00  0.14620 -0.06158 -0.98734
  4.4376E+02  0.37543 -0.09108  0.92236
  7.2336E+02  0.32846  0.88280  0.33582
  4.3970E+00  0.37823 -0.72098  0.58062
  3.3661E+00 -0.58318 -0.18487 -0.79103
  1.4341E+00 -0.54018  0.58360  0.60631
  3.3670E+00  0.77280 -0.59672 -0.21613
  2.2005E+02 -0.30542 -0.56334  0.76770
  1.6894E+00 -0.01459 -0.94069 -0.33896
  9.6608E+01  0.97197 -0.04716 -0.23034
  1.6695E+01 -0.67711  0.08836  0.73056
  5.6030E+01  0.56681  0.67040  0.47885
  1.9978E+00  0.86044  0.06057 -0.50594
  2.6719E+02 -0.90107  0.25910 -0.34775
  1.9714E+02  0.68830  0.58962  0.42261
  4.8658E+00  0.91486  0.26091  0.30815
  3.3551E+02 -0.72219 -0.64066 -0.26077
  7.1860E+00  0.82864 -0.52240 -0.20114
  2.1015E+02 -0.59537 -0.43718  0.67409
  1.7818E+02 -0.56653  0.44359  0.69446
  3.9410E+00  0.91659  0.11973 -0.38148
  4.6155E+02  0.46301  0.52088  0.71715
  2.5799E+02 -0.39241 -0.66571  0.63470
  1.3935E+02  0.35538 -0.39404  0.84760
  1.8990E+00 -0.76678  0.62767  0.13446
  3.1930E+02  0.06712 -0.68045  0.72972
  1.5739E+01 -0.98858 -0.14804  0.02805
  1.6115E+02  0.36217  0.84172 -0.40043
  1.0310E+00  0.09666  0.89306 -0.43943
  2.3393E+02  0.56846  0.55502  0.60729
  4.2651E+00 -0.15916 -0.65979  0.73440
  1.6425E+00  0.94144  0.33697 -0.01226
  2.2711E+02 -0.39876 -0.55112  0.73298
  1.5058E+02 -0.59959  0.80027  0.00745
  3.6755E+01  0.35942  0.93154 -0.05529
  6.5734E+00  0.81075 -0.35103 -0.46846
  4.4861E+01 -0.94810 -0.09217 -0.30432
  6.3349E+00  0.99204  0.08822  0.08982
  1.3083E+01 -0.64121 -0.43530  0.63195
  6.8862E+01 -0.81109  0.22042  0.54180
  1.2218E+01 -0.99983 -0.01362  0.01207
  3.4497E+00 -0.46744 -0.87654 -0.11483
  3.7037E+00 -0.04952 -0.93796  0.34318
  3.3165E+01  0.51837  0.56355  0.64320
  2.1127E+01  0.39422  0.69998 -0.59549
  1.2161E+00 -0.50701 -0.25865 -0.82222
